Depth,BW,PW,MH,Ratio,Stability,PS_1,PS_2,PS_3,PS_4,PS_5,PS_6,PS_7,Pillar Stress,SF_1,SF_2,SF_3,SF_4,SF_5,SF_6,SF_7
66.95,7.5,7.77,3,2.59,Intact,6667.632959,8010.339707,8775.098466,8924.339237,5444.187862,7776.222175,8539.394759,6464.376258,1.031442585,1.239151217,1.357454782,1.380541429,0.842183011,1.202934648,1.320992841
25.98,5.53,3.11,1.34,2.320895522,Intact,9444.040181,9917.091665,10160.94325,9969.262742,7325.148834,9839.03483,9497.477976,5012.863308,1.883961242,1.978328763,2.026973932,1.988736203,1.461270412,1.962757455,1.894621376
26.83,5.09,2.91,1.33,2.187969925,Intact,9204.014275,9652.960023,9884.169715,9716.975818,7277.578618,9578.919275,9235.316962,5069.378019,1.815610168,1.904170489,1.949779574,1.916798428,1.435595963,1.889565,1.821785025
42.61,5.07,4.38,1.61,2.720496894,Intact,9328.108936,10100.28272,10507.51644,10338.45026,6994.618881,9971.241432,9911.979645,4958.689775,1.881164049,2.036885383,2.11901065,2.08491572,1.410578035,2.01086212,1.998911022
23,5.68,4,1.58,2.53164557,Intact,9083.544304,9804.626908,10184.0286,10039.59858,6965.473284,9684.27985,9597.795546,3367.43,2.697470862,2.911605262,3.02427329,2.981383009,2.068483468,2.875866714,2.85018413
23.76,5.21,4.3,1.5,2.866666667,Intact,9920.313543,10615.30896,10978.63164,10741.32083,7250.821109,10499.73106,10319.81248,2905.431011,3.414403407,3.653609025,3.778658517,3.696980169,2.495609457,3.613829072,3.551904155
23.54,5.38,4.24,1.54,2.753246753,Intact,9594.992453,10312.42013,10688.69827,10488.34703,7130.575303,10192.89472,10060.50736,3029.457736,3.167230999,3.404048191,3.528254626,3.462120267,2.35374642,3.3645938,3.320893783
26.75,4.97,4.54,1.65,2.751515152,Intact,9266.727927,10075.02728,10502.61386,10341.62342,6940.570934,9939.720317,9919.519259,2934.358171,3.15800846,3.433468819,3.579186059,3.524322122,2.365277355,3.387357554,3.380473235
19.4,5.22,4.26,1.4,3.042857143,Intact,10579.35508,11190.83715,11507.77078,11193.5113,7519.994904,11089.6316,10779.94721,2401.813132,4.404736963,4.659328821,4.791284812,4.66044221,3.130965853,4.617191674,4.488253921
20.8,5.18,4.24,1.38,3.072463768,Intact,10707.45535,11299.15794,11605.29123,11275.88212,7574.037823,11201.3236,10863.48145,2566.690103,4.171697757,4.402229131,4.521500753,4.393160712,2.950896882,4.364112204,4.232486595
23.33,5.08,4.37,1.33,3.285714286,Intact,11279.02366,11829.18249,12112.51751,11715.52643,7766.780962,11738.44954,11317.38341,2727.44179,4.135385656,4.337098056,4.440981124,4.295426751,2.847643161,4.30383137,4.149450028
58.89,5.7,8.06,3,2.686666667,Intact,6790.921281,8158.455438,8937.355021,9076.042506,5476.200576,7920.008941,8697.293019,4290.899544,1.582633481,1.901339184,2.082862796,2.115184104,1.276236025,1.845768902,2.026916019
96.2,5.77,8.06,3.1,2.6,Intact,6571.859304,7938.631809,8720.244874,8881.735412,5378.32578,7699.790242,8499.93872,7080.914612,0.92810882,1.121130849,1.231513915,1.254320367,0.759552413,1.087400521,1.200401246
33.94,5.52,8.17,2.38,3.432773109,Intact,8618.198667,9961.043876,10704.36084,10640.54284,6233.337365,9730.54746,10296.95033,2382.399723,3.617444455,4.181096808,4.49310027,4.466312993,2.61641122,4.084347126,4.32209181
39.1,6.36,6.63,2.6,2.55,Intact,7106.665041,8336.166789,9024.209795,9117.929784,5742.344628,8123.854098,8719.204829,3752.390359,1.893903449,2.221561723,2.404922978,2.429899054,1.530316433,2.164981071,2.323640132
36.5,6.3,7.25,2.68,2.705223881,Intact,7209.690794,8499.9261,9224.659358,9312.557108,5728.783032,8276.667536,8926.395126,3187.391795,2.261940564,2.666734009,2.894109024,2.921685725,1.797326278,2.596689729,2.800532755
24.15,6.25,6.1,2.65,2.301886792,Intact,6688.08022,7870.159509,8533.21999,8665.465097,5607.250689,7665.771963,8252.665932,2474.750319,2.702527268,3.180183249,3.448113502,3.50155126,2.265784409,3.09759409,3.334746891
25.7,6.17,6.15,2.6,2.365384615,Intact,6844.577416,8028.73621,8691.404788,8808.106835,5673.70965,7824.253425,8397.648139,2578.364518,2.654619766,3.113887176,3.370898384,3.416160427,2.200507186,3.03458001,3.256966996
18.58,6.16,4.86,2.78,1.748201439,Intact,5690.569984,6750.116209,7347.963117,7562.502802,5266.469767,6566.319948,7123.414844,2388.231206,2.382755057,2.826408177,3.076738591,3.166570633,2.205175844,2.749449019,2.982715755
21.5,5.96,5.09,2.75,1.850909091,Intact,5887.197797,6970.71276,7581.267153,7780.598981,5337.332926,6782.896723,7345.603206,2533.188221,2.32402699,2.751754766,2.992776885,3.071465009,2.106962634,2.67761261,2.899746314
44.95,6.01,5.03,2.68,1.876865672,Intact,6005.25742,7079.949161,7683.610247,7871.087478,5403.30112,6893.987628,7435.173311,5413.421973,1.109327418,1.307850967,1.419362888,1.453994815,0.998130415,1.273499029,1.373470117
