Depth,PW,BW,MH,Ratio,Stability,cluster,Label
38.37,8.1,6.4,5.9,1.372881356,Intact,1,I1
52.8,11.3,6,3,3.766666667,Intact,0,I0
45.72,6.1,6.1,4.57,1.334792123,Intact,1,I1
219.46,21.73,5.58,3.17,6.85488959,Intact,0,I0
76.2,7.62,6.1,4.57,1.667396061,Intact,1,I1
106.68,6.71,5.49,1.19,5.638655462,Intact,0,I0
182.88,16.92,5.94,2.44,6.93442623,Intact,0,I0
91.44,12.19,6.1,1.52,8.019736842,Intact,0,I0
35.05,9.75,5.49,2.44,3.995901639,Intact,0,I0
50.6,6.1,6.1,1.37,4.452554745,Intact,0,I0
76.2,9.14,6.1,1.37,6.671532847,Intact,0,I0
35.05,7.32,4.88,2.59,2.826254826,Intact,0,I0
42,5,10,1.8,2.777777778,Intact,1,I1
36,5,7,2.4,2.083333333,Intact,1,I1
38,5,7,1.8,2.777777778,Intact,1,I1
22,6,6,1.5,4,Intact,0,I0
36.58,6.1,6.1,3.66,1.666666667,Intact,1,I1
51.82,7.62,6.1,3.66,2.081967213,Intact,1,I1
137.16,12.8,5.49,3.66,3.49726776,Intact,0,I0
91.44,9.14,6.1,4.57,2,Intact,1,I1
45.72,7.62,6.1,4.88,1.56147541,Intact,1,I1
19.81,7.62,6.1,3.2,2.38125,Intact,1,I1
29.77,14,5,3,4.666666667,Intact,0,I0
58.53,11.42,6,3.5,3.262857143,Intact,0,I0
58.53,14,6,3.5,4,Intact,0,I0
42.59,15,6,3.7,4.054054054,Intact,0,I0
13.22,8,6,2.6,3.076923077,Intact,0,I0
65.78,10,5,2.2,4.545454545,Intact,0,I0
54.65,10,5,2.2,4.545454545,Intact,0,I0
54.99,9.47,5,3,3.156666667,Intact,0,I0
45.72,6.55,6.4,3.51,1.866096866,Intact,1,I1
82,12,6,3,4,Intact,0,I0
70.1,12,6,3.35,3.582089552,Intact,0,I0
21.34,6.1,6.71,2.74,2.226277372,Intact,1,I1
30.48,6.4,6.4,3.66,1.74863388,Intact,1,I1
41.15,6.4,6.4,1.98,3.232323232,Intact,0,I0
78.54,14,6,2.7,5.185185185,Intact,0,I0
78.54,14,6,2.4,5.833333333,Intact,0,I0
